champion,opgg_key,opgg_patch,opgg_region,opgg_rank_tier,position,opgg_tier_raw,opgg_tier_label,opgg_rank,opgg_win_rate,opgg_pick_rate,opgg_ban_rate,opgg_role_rate,data_source,leaguepedia_patch
Hwei,hwei,16.09,global,platinum_plus,MID,1,Tier 1,11,0.50905,0.0562784,0.0260175,0.737705,opgg_scraped,26.09
Sylas,sylas,16.09,global,platinum_plus,JUNGLE,1,Tier 1,11,0.499759,0.0731321,0.161049,0.402478,opgg_scraped,26.09
Teemo,teemo,16.09,global,platinum_plus,TOP,2,Tier 2,4,0.509966,0.0528123,0.126845,0.688408,opgg_scraped,26.09
Ornn,ornn,16.09,global,platinum_plus,TOP,2,Tier 2,5,0.516767,0.0387044,0.007387849999999999,0.952655,opgg_scraped,26.09
Nautilus,nautilus,16.09,global,platinum_plus,SUPPORT,2,Tier 2,5,0.501009,0.104311,0.145208,0.976704,opgg_scraped,26.09
Brand,brand,16.09,global,platinum_plus,ADC,2,Tier 2,6,0.524344,0.0290194,0.128433,0.308811,opgg_scraped,26.09
Kayle,kayle,16.09,global,platinum_plus,TOP,2,Tier 2,6,0.519738,0.0267455,0.0245562,0.830186,opgg_scraped,26.09
Milio,milio,16.09,global,platinum_plus,SUPPORT,2,Tier 2,6,0.509278,0.0576824,0.0420197,0.998618,opgg_scraped,26.09
Seraphine,seraphine,16.09,global,platinum_plus,ADC,2,Tier 2,7,0.539904,0.0138153,0.0869703,0.109932,opgg_scraped,26.09
Bard,bard,16.09,global,platinum_plus,SUPPORT,2,Tier 2,7,0.506913,0.0614865,0.0292643,0.99531,opgg_scraped,26.09
Sion,sion,16.09,global,platinum_plus,TOP,2,Tier 2,7,0.50596,0.0550575,0.0148828,0.765523,opgg_scraped,26.09
Braum,braum,16.09,global,platinum_plus,SUPPORT,2,Tier 2,8,0.514104,0.0425215,0.0494372,0.997786,opgg_scraped,26.09
Smolder,smolder,16.09,global,platinum_plus,ADC,2,Tier 2,8,0.503409,0.0712635,0.12631,0.846936,opgg_scraped,26.09
Aatrox,aatrox,16.09,global,platinum_plus,TOP,2,Tier 2,8,0.502584,0.0626466,0.0818516,0.769588,opgg_scraped,26.09
Shen,shen,16.09,global,platinum_plus,TOP,2,Tier 2,9,0.512728,0.0364343,0.00871171,0.727328,opgg_scraped,26.09
Blitzcrank,blitzcrank,16.09,global,platinum_plus,SUPPORT,2,Tier 2,9,0.506125,0.0564031,0.12496800000000001,0.992611,opgg_scraped,26.09
Tristana,tristana,16.09,global,platinum_plus,ADC,2,Tier 2,9,0.504722,0.0660922,0.0213189,0.893784,opgg_scraped,26.09
Soraka,soraka,16.09,global,platinum_plus,SUPPORT,2,Tier 2,10,0.51032,0.048216999999999996,0.0222488,0.976045,opgg_scraped,26.09
Yone,yone,16.09,global,platinum_plus,TOP,2,Tier 2,10,0.498489,0.0697905,0.0700874,0.509118,opgg_scraped,26.09
Miss Fortune,missfortune,16.09,global,platinum_plus,ADC,2,Tier 2,10,0.498327,0.0783372,0.0146389,0.956822,opgg_scraped,26.09
Twitch,twitch,16.09,global,platinum_plus,ADC,2,Tier 2,11,0.506579,0.0493882,0.05986890000000001,0.86126,opgg_scraped,26.09
Darius,darius,16.09,global,platinum_plus,TOP,2,Tier 2,11,0.497749,0.0715519,0.144007,0.883157,opgg_scraped,26.09
Lux,lux,16.09,global,platinum_plus,SUPPORT,2,Tier 2,11,0.496657,0.0817893,0.054404,0.618073,opgg_scraped,26.09
Naafiri,naafiri,16.09,global,platinum_plus,MID,2,Tier 2,12,0.51413,0.027926899999999998,0.315434,0.273168,opgg_scraped,26.09
Dr. Mundo,drmundo,16.09,global,platinum_plus,TOP,2,Tier 2,12,0.510666,0.0373883,0.0354424,0.841829,opgg_scraped,26.09
Jarvan IV,jarvaniv,16.09,global,platinum_plus,JUNGLE,2,Tier 2,12,0.50449,0.0614405,0.0127197,0.914661,opgg_scraped,26.09
Nami,nami,16.09,global,platinum_plus,SUPPORT,2,Tier 2,12,0.49709699999999996,0.076863,0.014842,0.998949,opgg_scraped,26.09
Rell,rell,16.09,global,platinum_plus,SUPPORT,2,Tier 2,13,0.514903,0.0321018,0.00964946,0.991293,opgg_scraped,26.09
Jax,jax,16.09,global,platinum_plus,TOP,2,Tier 2,13,0.501466,0.0579485,0.109794,0.69149,opgg_scraped,26.09
Viego,viego,16.09,global,platinum_plus,JUNGLE,2,Tier 2,13,0.495749,0.0965292,0.08218149999999999,0.964986,opgg_scraped,26.09
Zed,zed,16.09,global,platinum_plus,MID,2,Tier 2,13,0.495258,0.0745764,0.25816,0.732378,opgg_scraped,26.09
Rek'Sai,reksai,16.09,global,platinum_plus,JUNGLE,2,Tier 2,14,0.517913,0.0233935,0.0212961,0.913989,opgg_scraped,26.09
Veigar,veigar,16.09,global,platinum_plus,MID,2,Tier 2,14,0.51206,0.04089400000000001,0.015218,0.716363,opgg_scraped,26.09
Gangplank,gangplank,16.09,global,platinum_plus,TOP,2,Tier 2,14,0.503737,0.0522132,0.052916,0.919068,opgg_scraped,26.09
Pyke,pyke,16.09,global,platinum_plus,SUPPORT,2,Tier 2,14,0.496577,0.0659426,0.22068,0.985888,opgg_scraped,26.09
Rammus,rammus,16.09,global,platinum_plus,JUNGLE,2,Tier 2,15,0.519424,0.0207725,0.0485624,0.904679,opgg_scraped,26.09
Singed,singed,16.09,global,platinum_plus,TOP,2,Tier 2,15,0.51709,0.0243533,0.00967955,0.834208,opgg_scraped,26.09
Lissandra,lissandra,16.09,global,platinum_plus,MID,2,Tier 2,15,0.50817,0.04757949999999999,0.030619,0.843459,opgg_scraped,26.09
Lulu,lulu,16.09,global,platinum_plus,SUPPORT,2,Tier 2,15,0.494041,0.08107139999999999,0.0719178,0.990432,opgg_scraped,26.09
Tryndamere,tryndamere,16.09,global,platinum_plus,TOP,2,Tier 2,16,0.510293,0.0340239,0.0252062,0.817136,opgg_scraped,26.09
Lux,lux,16.09,global,platinum_plus,MID,2,Tier 2,16,0.508578,0.0420622,0.0543575,0.321702,opgg_scraped,26.09
Brand,brand,16.09,global,platinum_plus,SUPPORT,2,Tier 2,16,0.504916,0.0430191,0.128753,0.444239,opgg_scraped,26.09
Shaco,shaco,16.09,global,platinum_plus,JUNGLE,2,Tier 2,16,0.503561,0.0508774,0.214973,0.759133,opgg_scraped,26.09
Vex,vex,16.09,global,platinum_plus,MID,2,Tier 2,17,0.519261,0.0274409,0.0334168,0.945808,opgg_scraped,26.09
Urgot,urgot,16.09,global,platinum_plus,TOP,2,Tier 2,17,0.514673,0.0249835,0.00891153,0.950294,opgg_scraped,26.09
Morgana,morgana,16.09,global,platinum_plus,SUPPORT,2,Tier 2,17,0.501314,0.051271,0.186942,0.852134,opgg_scraped,26.09
Lee Sin,leesin,16.09,global,platinum_plus,JUNGLE,2,Tier 2,17,0.487945,0.128287,0.18154,0.955861,opgg_scraped,26.09
Twisted Fate,twistedfate,16.09,global,platinum_plus,MID,2,Tier 2,18,0.506959,0.0481285,0.00882864,0.862661,opgg_scraped,26.09
Diana,diana,16.09,global,platinum_plus,JUNGLE,2,Tier 2,18,0.502795,0.04893990000000001,0.0634587,0.50852,opgg_scraped,26.09
Irelia,irelia,16.09,global,platinum_plus,TOP,2,Tier 2,18,0.502598,0.041401099999999996,0.134765,0.548772,opgg_scraped,26.09
Illaoi,illaoi,16.09,global,platinum_plus,TOP,2,Tier 2,19,0.509332,0.029399500000000002,0.0546117,0.965003,opgg_scraped,26.09
Vi,vi,16.09,global,platinum_plus,JUNGLE,2,Tier 2,19,0.501889,0.05417829999999999,0.0139397,0.93675,opgg_scraped,26.09
Akali,akali,16.09,global,platinum_plus,MID,2,Tier 2,19,0.493401,0.0619309,0.178067,0.696479,opgg_scraped,26.09
Olaf,olaf,16.09,global,platinum_plus,TOP,2,Tier 2,20,0.512158,0.023611800000000002,0.023689,0.835411,opgg_scraped,26.09
Ekko,ekko,16.09,global,platinum_plus,JUNGLE,2,Tier 2,20,0.50469,0.0387458,0.0183749,0.526261,opgg_scraped,26.09
Yasuo,yasuo,16.09,global,platinum_plus,MID,2,Tier 2,20,0.486524,0.0762731,0.169952,0.649762,opgg_scraped,26.09
Ekko,ekko,16.09,global,platinum_plus,MID,2,Tier 2,21,0.506463,0.0324906,0.0183627,0.43981,opgg_scraped,26.09
Mordekaiser,mordekaiser,16.09,global,platinum_plus,TOP,2,Tier 2,21,0.496928,0.0510779,0.0879188,0.902517,opgg_scraped,26.09
Yorick,yorick,16.09,global,platinum_plus,TOP,2,Tier 2,22,0.499355,0.04391949999999999,0.0924258,0.921577,opgg_scraped,26.09
Yone,yone,16.09,global,platinum_plus,MID,2,Tier 2,22,0.48686599999999997,0.0646704,0.0700842,0.478624,opgg_scraped,26.09
Warwick,warwick,16.09,global,platinum_plus,TOP,2,Tier 2,23,0.519884,0.013954200000000002,0.0275474,0.249142,opgg_scraped,26.09
Annie,annie,16.09,global,platinum_plus,MID,2,Tier 2,23,0.510554,0.0232925,0.00748996,0.826323,opgg_scraped,26.09
Renekton,renekton,16.09,global,platinum_plus,TOP,2,Tier 2,24,0.497695,0.046444200000000005,0.0355946,0.944265,opgg_scraped,26.09
Kai'Sa,kaisa,16.09,global,platinum_plus,ADC,3,Tier 3,12,0.4829510000000001,0.117658,0.0135693,0.965394,opgg_scraped,26.09
Ezreal,ezreal,16.09,global,platinum_plus,ADC,3,Tier 3,13,0.47229999999999994,0.15859,0.0717267,0.944531,opgg_scraped,26.09
Vayne,vayne,16.09,global,platinum_plus,ADC,3,Tier 3,14,0.495924,0.0564548,0.11867999999999998,0.618212,opgg_scraped,26.09
Xayah,xayah,16.09,global,platinum_plus,ADC,3,Tier 3,15,0.508559,0.0357605,0.00479795,0.993974,opgg_scraped,26.09
Samira,samira,16.09,global,platinum_plus,ADC,3,Tier 3,16,0.500179,0.0491865,0.0723718,0.989266,opgg_scraped,26.09
Lucian,lucian,16.09,global,platinum_plus,ADC,3,Tier 3,17,0.487203,0.0764484,0.0258697,0.967823,opgg_scraped,26.09
Veigar,veigar,16.09,global,platinum_plus,ADC,3,Tier 3,18,0.532591,0.00966155,0.0147985,0.172326,opgg_scraped,26.09
Vel'Koz,velkoz,16.09,global,platinum_plus,SUPPORT,3,Tier 3,18,0.506565,0.0394389,0.019425,0.644172,opgg_scraped,26.09
Hwei,hwei,16.09,global,platinum_plus,ADC,3,Tier 3,19,0.529375,0.010402500000000002,0.0253955,0.138838,opgg_scraped,26.09
Zilean,zilean,16.09,global,platinum_plus,SUPPORT,3,Tier 3,19,0.515994,0.0241925,0.0102136,0.861491,opgg_scraped,26.09
Janna,janna,16.09,global,platinum_plus,SUPPORT,3,Tier 3,20,0.511895,0.0285631,0.00496906,0.990242,opgg_scraped,26.09
Sivir,sivir,16.09,global,platinum_plus,ADC,3,Tier 3,20,0.496871,0.043000699999999996,0.017527,0.989926,opgg_scraped,26.09
Swain,swain,16.09,global,platinum_plus,ADC,3,Tier 3,21,0.527315,0.010625299999999999,0.0251838,0.199762,opgg_scraped,26.09
Talon,talon,16.09,global,platinum_plus,JUNGLE,3,Tier 3,21,0.49977199999999994,0.0447402,0.0637961,0.667083,opgg_scraped,26.09
Karma,karma,16.09,global,platinum_plus,SUPPORT,3,Tier 3,21,0.49223599999999995,0.0710026,0.0524546,0.952653,opgg_scraped,26.09
Kog'Maw,kogmaw,16.09,global,platinum_plus,ADC,3,Tier 3,22,0.517325,0.0167372,0.00355369,0.803181,opgg_scraped,26.09
Bel'Veth,belveth,16.09,global,platinum_plus,JUNGLE,3,Tier 3,22,0.512811,0.0195225,0.0252509,0.952889,opgg_scraped,26.09
Tahm Kench,tahmkench,16.09,global,platinum_plus,SUPPORT,3,Tier 3,22,0.508593,0.030611600000000003,0.0306136,0.548108,opgg_scraped,26.09
Taric,taric,16.09,global,platinum_plus,SUPPORT,3,Tier 3,23,0.527371,0.0123852,0.0029635,0.954614,opgg_scraped,26.09
Nilah,nilah,16.09,global,platinum_plus,ADC,3,Tier 3,23,0.523393,0.012471299999999998,0.0203329,0.98773,opgg_scraped,26.09
Fiddlesticks,fiddlesticks,16.09,global,platinum_plus,JUNGLE,3,Tier 3,23,0.510404,0.020801599999999996,0.0109396,0.676123,opgg_scraped,26.09
Gwen,gwen,16.09,global,platinum_plus,MID,3,Tier 3,24,0.533166,0.005929640000000001,0.024859399999999997,0.157391,opgg_scraped,26.09
Ziggs,ziggs,16.09,global,platinum_plus,ADC,3,Tier 3,24,0.512943,0.0191003,0.00606239,0.646228,opgg_scraped,26.09
Sejuani,sejuani,16.09,global,platinum_plus,JUNGLE,3,Tier 3,24,0.511519,0.019474,0.00198951,0.834821,opgg_scraped,26.09
Xerath,xerath,16.09,global,platinum_plus,SUPPORT,3,Tier 3,24,0.498466,0.0381923,0.101974,0.387816,opgg_scraped,26.09
Teemo,teemo,16.09,global,platinum_plus,ADC,3,Tier 3,25,0.527016,0.00828536,0.111005,0.111563,opgg_scraped,26.09
Udyr,udyr,16.09,global,platinum_plus,JUNGLE,3,Tier 3,25,0.510414,0.0202171,0.00890154,0.767884,opgg_scraped,26.09
Rakan,rakan,16.09,global,platinum_plus,SUPPORT,3,Tier 3,25,0.503793,0.0332048,0.00302953,0.989328,opgg_scraped,26.09
Akali,akali,16.09,global,platinum_plus,TOP,3,Tier 3,25,0.501145,0.0270058,0.177476,0.299357,opgg_scraped,26.09
Galio,galio,16.09,global,platinum_plus,MID,3,Tier 3,25,0.492423,0.040890899999999994,0.0168546,0.783633,opgg_scraped,26.09
Brand,brand,16.09,global,platinum_plus,MID,3,Tier 3,26,0.511736,0.0141173,0.127683,0.147546,opgg_scraped,26.09
Aatrox,aatrox,16.09,global,platinum_plus,JUNGLE,3,Tier 3,26,0.511079,0.0159863,0.08132500000000001,0.199914,opgg_scraped,26.09
Sona,sona,16.09,global,platinum_plus,SUPPORT,3,Tier 3,26,0.509067,0.0246398,0.0018148600000000002,0.989262,opgg_scraped,26.09
Nasus,nasus,16.09,global,platinum_plus,TOP,3,Tier 3,26,0.499759,0.0333832,0.0462975,0.561122,opgg_scraped,26.09
Zeri,zeri,16.09,global,platinum_plus,ADC,3,Tier 3,26,0.49698,0.0363063,0.00478144,0.954661,opgg_scraped,26.09
Vel'Koz,velkoz,16.09,global,platinum_plus,ADC,3,Tier 3,27,0.531864,0.00675625,0.0186613,0.113719,opgg_scraped,26.09
Evelynn,evelynn,16.09,global,platinum_plus,JUNGLE,3,Tier 3,27,0.505568,0.0247512,0.0227412,0.962086,opgg_scraped,26.09
Camille,camille,16.09,global,platinum_plus,TOP,3,Tier 3,27,0.504832,0.0239267,0.00874867,0.616164,opgg_scraped,26.09
Zyra,zyra,16.09,global,platinum_plus,SUPPORT,3,Tier 3,27,0.503409,0.031016399999999996,0.0289392,0.736223,opgg_scraped,26.09
Irelia,irelia,16.09,global,platinum_plus,MID,3,Tier 3,27,0.494036,0.0324599,0.13466,0.43651,opgg_scraped,26.09
Xerath,xerath,16.09,global,platinum_plus,ADC,3,Tier 3,28,0.526403,0.00731558,0.0977989,0.0765506,opgg_scraped,26.09
Lillia,lillia,16.09,global,platinum_plus,JUNGLE,3,Tier 3,28,0.504736,0.0260834,0.0158602,0.974299,opgg_scraped,26.09
Pantheon,pantheon,16.09,global,platinum_plus,TOP,3,Tier 3,28,0.502542,0.025651700000000003,0.0214038,0.321572,opgg_scraped,26.09
Akshan,akshan,16.09,global,platinum_plus,MID,3,Tier 3,28,0.502162,0.0228607,0.0206333,0.862817,opgg_scraped,26.09
Alistar,alistar,16.09,global,platinum_plus,SUPPORT,3,Tier 3,28,0.498598,0.037336,0.013830100000000001,0.96396,opgg_scraped,26.09
Wukong,monkeyking,16.09,global,platinum_plus,TOP,3,Tier 3,29,0.516382,0.0115765,0.0146669,0.183745,opgg_scraped,26.09
Maokai,maokai,16.09,global,platinum_plus,SUPPORT,3,Tier 3,29,0.508997,0.0186379,0.00204462,0.66847,opgg_scraped,26.09
Amumu,amumu,16.09,global,platinum_plus,JUNGLE,3,Tier 3,29,0.504238,0.0252335,0.0146797,0.822196,opgg_scraped,26.09
Aphelios,aphelios,16.09,global,platinum_plus,ADC,3,Tier 3,29,0.488709,0.0416974,0.0143055,0.987398,opgg_scraped,26.09
LeBlanc,leblanc,16.09,global,platinum_plus,MID,3,Tier 3,29,0.487526,0.0383266,0.128794,0.83102,opgg_scraped,26.09
Swain,swain,16.09,global,platinum_plus,MID,3,Tier 3,30,0.522572,0.007668900000000001,0.0250332,0.141603,opgg_scraped,26.09
Poppy,poppy,16.09,global,platinum_plus,SUPPORT,3,Tier 3,30,0.508432,0.0184731,0.023852,0.522298,opgg_scraped,26.09
Jax,jax,16.09,global,platinum_plus,JUNGLE,3,Tier 3,30,0.502506,0.0233256,0.109524,0.283343,opgg_scraped,26.09
Fiora,fiora,16.09,global,platinum_plus,TOP,3,Tier 3,30,0.49989400000000006,0.0293611,0.0388155,0.9295,opgg_scraped,26.09
Vel'Koz,velkoz,16.09,global,platinum_plus,MID,3,Tier 3,31,0.510833,0.0133553,0.0191271,0.220774,opgg_scraped,26.09
Zaahen,zaahen,16.09,global,platinum_plus,TOP,3,Tier 3,31,0.499591,0.0273373,0.0182973,0.822592,opgg_scraped,26.09
Xin Zhao,xinzhao,16.09,global,platinum_plus,JUNGLE,3,Tier 3,31,0.494548,0.0411897,0.0538145,0.612909,opgg_scraped,26.09
Heimerdinger,heimerdinger,16.09,global,platinum_plus,TOP,3,Tier 3,32,0.510724,0.0144384,0.0222615,0.683104,opgg_scraped,26.09
Anivia,anivia,16.09,global,platinum_plus,MID,3,Tier 3,32,0.495691,0.0255551,0.0329932,0.634149,opgg_scraped,26.09
Riven,riven,16.09,global,platinum_plus,MID,3,Tier 3,33,0.509812,0.0124749,0.0242831,0.263703,opgg_scraped,26.09
Kled,kled,16.09,global,platinum_plus,TOP,3,Tier 3,33,0.508645,0.014755899999999999,0.00780784,0.895726,opgg_scraped,26.09
Tahm Kench,tahmkench,16.09,global,platinum_plus,TOP,3,Tier 3,34,0.501449,0.021160899999999996,0.0305116,0.377978,opgg_scraped,26.09
Zoe,zoe,16.09,global,platinum_plus,MID,3,Tier 3,34,0.492497,0.027030099999999998,0.0409612,0.747119,opgg_scraped,26.09
Kassadin,kassadin,16.09,global,platinum_plus,MID,3,Tier 3,35,0.494595,0.0234538,0.0189238,0.952713,opgg_scraped,26.09
Jayce,jayce,16.09,global,platinum_plus,TOP,3,Tier 3,35,0.485695,0.047672,0.048796,0.623638,opgg_scraped,26.09
Riven,riven,16.09,global,platinum_plus,TOP,3,Tier 3,36,0.492872,0.0326584,0.0244597,0.680466,opgg_scraped,26.09
Aurora,aurora,16.09,global,platinum_plus,MID,3,Tier 3,36,0.492035,0.025591,0.018852,0.80297,opgg_scraped,26.09
Malphite,malphite,16.09,global,platinum_plus,MID,3,Tier 3,37,0.507856,0.00941993,0.186022,0.0990085,opgg_scraped,26.09
Cho'Gath,chogath,16.09,global,platinum_plus,TOP,3,Tier 3,37,0.497239,0.025221,0.00737098,0.664213,opgg_scraped,26.09
Talon,talon,16.09,global,platinum_plus,MID,3,Tier 3,38,0.493422,0.0214877,0.063603,0.319302,opgg_scraped,26.09
Yasuo,yasuo,16.09,global,platinum_plus,TOP,3,Tier 3,38,0.490275,0.0296541,0.169454,0.249001,opgg_scraped,26.09
Sion,sion,16.09,global,platinum_plus,MID,3,Tier 3,39,0.508728,0.010503099999999998,0.0147011,0.148159,opgg_scraped,26.09
Qiyana,qiyana,16.09,global,platinum_plus,MID,3,Tier 3,40,0.491954,0.0202411,0.012202,0.644405,opgg_scraped,26.09
Pantheon,pantheon,16.09,global,platinum_plus,MID,3,Tier 3,41,0.508397,0.00893544,0.0208539,0.113643,opgg_scraped,26.09
Yasuo,yasuo,16.09,global,platinum_plus,ADC,4,Tier 4,30,0.510988,0.0108949,0.16761100000000004,0.094501,opgg_scraped,26.09
Karthus,karthus,16.09,global,platinum_plus,ADC,4,Tier 4,31,0.53032,0.00544141,0.008679,0.262834,opgg_scraped,26.09
Pantheon,pantheon,16.09,global,platinum_plus,SUPPORT,4,Tier 4,31,0.489936,0.0334256,0.021465200000000004,0.420039,opgg_scraped,26.09
Kha'Zix,khazix,16.09,global,platinum_plus,JUNGLE,4,Tier 4,32,0.488667,0.0501062,0.0290231,0.994348,opgg_scraped,26.09
Draven,draven,16.09,global,platinum_plus,ADC,4,Tier 4,32,0.48572400000000004,0.0372937,0.105946,0.954,opgg_scraped,26.09
Yuumi,yuumi,16.09,global,platinum_plus,SUPPORT,4,Tier 4,32,0.474393,0.0544013,0.0659396,0.998782,opgg_scraped,26.09
Kindred,kindred,16.09,global,platinum_plus,JUNGLE,4,Tier 4,33,0.49945,0.023660400000000005,0.013100099999999998,0.962221,opgg_scraped,26.09
Swain,swain,16.09,global,platinum_plus,SUPPORT,4,Tier 4,33,0.485885,0.0311589,0.0256,0.568466,opgg_scraped,26.09
Yunara,yunara,16.09,global,platinum_plus,ADC,4,Tier 4,33,0.479471,0.0434051,0.0118708,0.993129,opgg_scraped,26.09
Katarina,katarina,16.09,global,platinum_plus,ADC,4,Tier 4,34,0.518835,0.00571504,0.09837389999999999,0.0747889,opgg_scraped,26.09
Darius,darius,16.09,global,platinum_plus,JUNGLE,4,Tier 4,34,0.513222,0.007798160000000001,0.141347,0.0979818,opgg_scraped,26.09
Shaco,shaco,16.09,global,platinum_plus,SUPPORT,4,Tier 4,34,0.49166699999999997,0.0146182,0.213191,0.214782,opgg_scraped,26.09
Nunu & Willump,nunu,16.09,global,platinum_plus,JUNGLE,4,Tier 4,35,0.500749,0.0194117,0.00618414,0.745384,opgg_scraped,26.09
Neeko,neeko,16.09,global,platinum_plus,SUPPORT,4,Tier 4,35,0.490385,0.0187872,0.00872632,0.78991,opgg_scraped,26.09
Varus,varus,16.09,global,platinum_plus,ADC,4,Tier 4,35,0.471922,0.0399213,0.0351004,0.730382,opgg_scraped,26.09
Amumu,amumu,16.09,global,platinum_plus,SUPPORT,4,Tier 4,36,0.512735,0.00531142,0.0138222,0.17042,opgg_scraped,26.09
Nidalee,nidalee,16.09,global,platinum_plus,JUNGLE,4,Tier 4,36,0.494368,0.0279147,0.0127712,0.879925,opgg_scraped,26.09
Ivern,ivern,16.09,global,platinum_plus,JUNGLE,4,Tier 4,37,0.509822,0.010003699999999999,0.00319075,0.793321,opgg_scraped,26.09
Elise,elise,16.09,global,platinum_plus,SUPPORT,4,Tier 4,37,0.507928,0.00588419,0.010281099999999998,0.232771,opgg_scraped,26.09
Renata Glasc,renata,16.09,global,platinum_plus,SUPPORT,4,Tier 4,38,0.497872,0.00974271,0.00138528,0.994761,opgg_scraped,26.09
Hecarim,hecarim,16.09,global,platinum_plus,JUNGLE,4,Tier 4,38,0.489925,0.0330812,0.025609900000000005,0.996295,opgg_scraped,26.09
Quinn,quinn,16.09,global,platinum_plus,TOP,4,Tier 4,39,0.513172,0.00936876,0.0124412,0.296105,opgg_scraped,26.09
