team,total_pick_rows,unique_champions,wins,op_pick_rows,patches,team_row_win_rate,op_pick_rate,two_mode_degree,two_mode_weighted_degree
EDward Gaming,85,52,30,2,"26.09, 26.10",0.35294117647058826,0.023529411764705882,52,85.0
Project Conquerors,85,44,55,2,"26.09, 26.10",0.6470588235294118,0.023529411764705882,44,85.0
GOAL,85,43,40,2,"26.09, 26.11",0.47058823529411764,0.023529411764705882,43,85.0
Karmine Corp Blue,130,48,70,3,"26.09, 26.10, 26.11",0.5384615384615384,0.023076923076923078,48,130.0
FUSE,90,49,45,2,"26.09, 26.10, 26.11",0.5,0.022222222222222223,49,90.0
Verdant,90,43,65,2,"26.10, 26.11",0.7222222222222222,0.022222222222222223,43,90.0
paiN Gaming,45,32,25,1,"26.09, 26.11",0.5555555555555556,0.022222222222222223,32,45.0
SILNĚJŠÍ SE XNAPYM,45,28,15,1,"26.10, 26.11",0.3333333333333333,0.022222222222222223,28,45.0
LYON (2024 American Team),95,57,70,2,"26.09, 26.10, 26.11",0.7368421052631579,0.021052631578947368,57,95.0
SNOOZE Esports,95,53,65,2,"26.09, 26.10, 26.11",0.6842105263157895,0.021052631578947368,53,95.0
Priority,150,69,95,3,"26.09, 26.10, 26.11",0.6333333333333333,0.02,69,150.0
ZEN Esports (Vietnamese Team),100,58,50,2,"26.09, 26.11",0.5,0.02,58,100.0
Epitomy Esports,50,32,25,1,26.10,0.5,0.02,32,50.0
FlyQuest,105,54,55,2,"26.09, 26.10, 26.11",0.5238095238095238,0.01904761904761905,54,105.0
RED Canids,110,55,50,2,"26.09, 26.10, 26.11",0.45454545454545453,0.01818181818181818,55,110.0
HMBLE,55,36,35,1,"26.09, 26.10, 26.11",0.6363636363636364,0.01818181818181818,36,55.0
Galions,180,57,135,3,"26.09, 26.10, 26.11",0.75,0.016666666666666666,57,180.0
Ozarox Esports,60,42,20,1,"26.09, 26.10",0.3333333333333333,0.016666666666666666,42,60.0
BoostGate Esports,60,41,20,1,"26.09, 26.10",0.3333333333333333,0.016666666666666666,41,60.0
Ruddy Corporation,125,48,60,2,"26.10, 26.11",0.48,0.016,48,125.0
Caldya Esport,65,43,30,1,"26.09, 26.10",0.46153846153846156,0.015384615384615385,43,65.0
RED OUAT,65,41,40,1,"26.09, 26.10",0.6153846153846154,0.015384615384615385,41,65.0
JSK Esports,65,39,40,1,"26.09, 26.11",0.6153846153846154,0.015384615384615385,39,65.0
Saigon Dino,135,61,85,2,"26.09, 26.11",0.6296296296296297,0.014814814814814815,61,135.0
LØS,210,66,135,3,"26.09, 26.10, 26.11",0.6428571428571429,0.014285714285714285,66,210.0
G2 Esports,140,61,105,2,"26.09, 26.10",0.75,0.014285714285714285,61,140.0
New Meta,70,48,30,1,"26.09, 26.10",0.42857142857142855,0.014285714285714285,48,70.0
P11 Esports,75,47,50,1,26.10,0.6666666666666666,0.013333333333333334,47,75.0
FN Esports,75,44,35,1,"26.09, 26.11",0.4666666666666667,0.013333333333333334,44,75.0
Otter Side,75,36,60,1,"26.09, 26.10, 26.11",0.8,0.013333333333333334,36,75.0
Bilibili Gaming,170,65,130,2,"26.09, 26.10",0.7647058823529411,0.011764705882352941,65,170.0
KaBuM! Ilha das Lendas,85,54,45,1,"26.09, 26.10, 26.11",0.5294117647058824,0.011764705882352941,54,85.0
Deer Gaming,85,44,40,1,"26.10, 26.11",0.47058823529411764,0.011764705882352941,44,85.0
T1,175,66,135,2,"26.09, 26.10, 26.11",0.7714285714285715,0.011428571428571429,66,175.0
Hanwha Life Esports,180,63,135,2,"26.09, 26.10, 26.11",0.75,0.011111111111111112,63,180.0
Mind Blue eSports,90,54,45,1,"26.09, 26.10, 26.11",0.5,0.011111111111111112,54,90.0
eSuba,90,54,50,1,"26.09, 26.10, 26.11",0.5555555555555556,0.011111111111111112,54,90.0
GnG Amazigh,90,49,45,1,"26.09, 26.11",0.5,0.011111111111111112,49,90.0
Frites Esports Club,90,41,75,1,"26.09, 26.10, 26.11",0.8333333333333334,0.011111111111111112,41,90.0
GMBLERS Esports,100,54,50,1,"26.09, 26.10, 26.11",0.5,0.01,54,100.0
Vivo Keyd Stars,100,54,30,1,"26.09, 26.10, 26.11",0.3,0.01,54,100.0
Ninjas in Pyjamas.CN,100,48,45,1,"26.09, 26.10",0.45,0.01,48,100.0
CTBC Flying Oyster,105,54,45,1,"26.09, 26.10",0.42857142857142855,0.009523809523809525,54,105.0
FENNEL,105,53,65,1,"26.09, 26.10, 26.11",0.6190476190476191,0.009523809523809525,53,105.0
LOUD,110,54,55,1,"26.09, 26.10, 26.11",0.5,0.00909090909090909,54,110.0
Arneb,110,46,55,1,"26.09, 26.10, 26.11",0.5,0.00909090909090909,46,110.0
Forsaken (Polish Team),115,57,60,1,"26.09, 26.10, 26.11",0.5217391304347826,0.008695652173913044,57,115.0
Rising Gaming,115,52,80,1,"26.09, 26.10, 26.11",0.6956521739130435,0.008695652173913044,52,115.0
DN SOOPers,120,55,15,1,"26.09, 26.10",0.125,0.008333333333333333,55,120.0
Team Liquid,125,54,70,1,"26.09, 26.10, 26.11",0.56,0.008,54,125.0
Nightbirds,130,57,80,1,"26.09, 26.10, 26.11",0.6153846153846154,0.007692307692307693,57,130.0
mCon esports,130,57,60,1,"26.09, 26.10, 26.11",0.46153846153846156,0.007692307692307693,57,130.0
Saigon Warriors,130,53,95,1,"26.09, 26.11",0.7307692307692307,0.007692307692307693,53,130.0
Winthrop University,135,57,70,1,"26.09, 26.10",0.5185185185185185,0.007407407407407408,57,135.0
Eintracht Spandau,135,53,80,1,"26.09, 26.10, 26.11",0.5925925925925926,0.007407407407407408,53,135.0
Solary,135,50,100,1,"26.09, 26.10, 26.11",0.7407407407407407,0.007407407407407408,50,135.0
KT Rolster,155,55,65,1,"26.09, 26.10, 26.11",0.41935483870967744,0.0064516129032258064,55,155.0
Movistar KOI,160,60,85,1,"26.09, 26.10",0.53125,0.00625,60,160.0
Deep Cross Gaming,195,68,115,0,"26.09, 26.10",0.5897435897435898,0.0,68,195.0
Dplus Kia,195,67,100,0,"26.09, 26.10, 26.11",0.5128205128205128,0.0,67,195.0
Karmine Corp,180,66,100,0,"26.09, 26.10",0.5555555555555556,0.0,66,180.0
GAM Esports,180,61,105,0,"26.09, 26.10",0.5833333333333334,0.0,61,180.0
Team WE,170,62,80,0,"26.09, 26.10",0.47058823529411764,0.0,62,170.0
KT Rolster Challengers,145,54,100,0,"26.09, 26.10, 26.11",0.6896551724137931,0.0,54,145.0
Nongshim RedForce,140,44,40,0,"26.09, 26.10",0.2857142857142857,0.0,44,140.0
PCIFIC Esports,135,64,70,0,"26.09, 26.10, 26.11",0.5185185185185185,0.0,64,135.0
E WIE EINFACH E-SPORTS,135,50,75,0,"26.09, 26.10, 26.11",0.5555555555555556,0.0,50,135.0
HANJIN BRION,135,47,50,0,"26.09, 26.10, 26.11",0.37037037037037035,0.0,47,135.0
JD Gaming,130,57,60,0,"26.09, 26.10",0.46153846153846156,0.0,57,130.0
Gen.G,130,56,100,0,"26.09, 26.10, 26.11",0.7692307692307693,0.0,56,130.0
BNK FEARX,125,55,50,0,"26.09, 26.10",0.4,0.0,55,125.0
Kiwoom DRX,125,47,50,0,"26.09, 26.10",0.4,0.0,47,125.0
Fluxo W7M,120,59,45,0,"26.09, 26.10, 26.11",0.375,0.0,59,120.0
MVK Esports,120,59,45,0,"26.09, 26.10",0.375,0.0,59,120.0
CITA Kaizen,120,57,85,0,"26.09, 26.10, 26.11",0.7083333333333334,0.0,57,120.0
Team Heretics Academy,115,57,90,0,"26.09, 26.10, 26.11",0.782608695652174,0.0,57,115.0
Pyramid IV Esports,115,55,75,0,"26.09, 26.11",0.6521739130434783,0.0,55,115.0
Top Esports,115,51,65,0,"26.09, 26.10",0.5652173913043478,0.0,51,115.0
Nongshim Esports Academy,115,46,75,0,"26.09, 26.10, 26.11",0.6521739130434783,0.0,46,115.0
Anyone's Legend,110,49,45,0,"26.09, 26.10",0.4090909090909091,0.0,49,110.0
BNK FEARX Youth,110,49,45,0,"26.09, 26.10",0.4090909090909091,0.0,49,110.0
Misa Esports,110,49,80,0,"26.09, 26.10, 26.11",0.7272727272727273,0.0,49,110.0
T1 Esports Academy,110,45,85,0,"26.09, 26.10, 26.11",0.7727272727272727,0.0,45,110.0
EXILE esports Academy,105,59,45,0,"26.09, 26.10, 26.11",0.42857142857142855,0.0,59,105.0
SN CyberCore Esports,105,57,40,0,"26.09, 26.11",0.38095238095238093,0.0,57,105.0
CCG Esports,105,56,50,0,"26.09, 26.10",0.47619047619047616,0.0,56,105.0
Fukuoka SoftBank HAWKS gaming,105,52,40,0,"26.09, 26.10",0.38095238095238093,0.0,52,105.0
NextGeneration Esports,105,52,45,0,"26.09, 26.11",0.42857142857142855,0.0,52,105.0
Dplus Kia Challengers,100,42,65,0,"26.09, 26.10, 26.11",0.65,0.0,42,100.0
Bubliki,95,53,45,0,"26.09, 26.10, 26.11",0.47368421052631576,0.0,53,95.0
Ethereal Enigmas,95,53,75,0,"26.09, 26.10, 26.11",0.7894736842105263,0.0,53,95.0
Conviction,95,51,70,0,"26.09, 26.10",0.7368421052631579,0.0,51,95.0
WLGaming Esports,95,51,55,0,"26.09, 26.11",0.5789473684210527,0.0,51,95.0
CITA Kaizen Academy,95,47,50,0,"26.09, 26.10",0.5263157894736842,0.0,47,95.0
Kiwoom DRX Challengers,95,44,55,0,"26.09, 26.10",0.5789473684210527,0.0,44,95.0
DN SOOPers Challengers,95,43,70,0,"26.09, 26.10",0.7368421052631579,0.0,43,95.0
HANJIN BRION Challengers,95,42,25,0,"26.09, 26.10",0.2631578947368421,0.0,42,95.0
Andromeda Gaming,90,54,35,0,"26.09, 26.10",0.3888888888888889,0.0,54,90.0
LGD Gaming,90,51,30,0,"26.09, 26.10",0.3333333333333333,0.0,51,90.0
Hanwha Life Esports Challengers,90,45,35,0,"26.09, 26.10",0.3888888888888889,0.0,45,90.0
Uwinks,85,46,40,0,"26.09, 26.10, 26.11",0.47058823529411764,0.0,46,85.0
GIANTX,85,45,35,0,"26.09, 26.10",0.4117647058823529,0.0,45,85.0
Gen.G Global Academy,85,44,5,0,"26.09, 26.10",0.058823529411764705,0.0,44,85.0
T1 Esports Academy Rookies,80,53,50,0,26.09,0.625,0.0,53,80.0
Barcząca Esports,80,47,40,0,"26.09, 26.10",0.5,0.0,47,80.0
Magaza Esports,80,42,35,0,"26.09, 26.10, 26.11",0.4375,0.0,42,80.0
STOPERCENTNÁ KAMILOVA TUTOFKA,80,36,40,0,"26.10, 26.11",0.5,0.0,36,80.0
Movistar KOI Fénix,75,47,40,0,"26.09, 26.10",0.5333333333333333,0.0,47,75.0
paiN Gaming Academy,75,47,50,0,"26.09, 26.10",0.6666666666666666,0.0,47,75.0
Gen.G Scholars,75,46,30,0,26.09,0.4,0.0,46,75.0
Dplus Kia Youth,75,44,60,0,26.09,0.8,0.0,44,75.0
The Bandits,75,43,35,0,"26.09, 26.10, 26.11",0.4666666666666667,0.0,43,75.0
RAYN Clocks,75,42,30,0,"26.09, 26.10",0.4,0.0,42,75.0
CTBC Flying Oyster Academy,75,41,45,0,"26.10, 26.11",0.6,0.0,41,75.0
Karmine Corp Blue Stars,75,41,55,0,"26.09, 26.10",0.7333333333333333,0.0,41,75.0
SU Esports,75,41,40,0,"26.09, 26.10",0.5333333333333333,0.0,41,75.0
Anubis Gaming,75,40,55,0,"26.09, 26.11",0.7333333333333333,0.0,40,75.0
Meavedron,75,40,35,0,26.10,0.4666666666666667,0.0,40,75.0
SillySilly Gaming,75,39,35,0,"26.10, 26.11",0.4666666666666667,0.0,39,75.0
FREEZŮV WOLT DŮCHOĎÁK,75,37,35,0,"26.10, 26.11",0.4666666666666667,0.0,37,75.0
Vivo Keyd Stars Academy,70,45,50,0,"26.09, 26.10, 26.11",0.7142857142857143,0.0,45,70.0
Invictus Gaming,70,44,25,0,"26.09, 26.10",0.35714285714285715,0.0,44,70.0
Bushido Wildcats,65,44,30,0,"26.09, 26.10",0.46153846153846156,0.0,44,65.0
Weibo Gaming,65,44,40,0,"26.09, 26.10",0.6153846153846154,0.0,44,65.0
Baam Esports,65,43,25,0,26.09,0.38461538461538464,0.0,43,65.0
Natus Vincere,65,43,15,0,"26.09, 26.10",0.23076923076923078,0.0,43,65.0
3BL Esports,65,42,40,0,26.09,0.6153846153846154,0.0,42,65.0
Berlin International Gaming,65,42,30,0,"26.09, 26.10",0.46153846153846156,0.0,42,65.0
Maryville University,65,41,30,0,"26.09, 26.10",0.46153846153846156,0.0,41,65.0
LNG Esports,65,38,40,0,"26.09, 26.10",0.6153846153846154,0.0,38,65.0
FURIA,65,37,55,0,"26.09, 26.10, 26.11",0.8461538461538461,0.0,37,65.0
HERDYNŮV LANGUSTA TÝM,65,33,50,0,"26.10, 26.11",0.7692307692307693,0.0,33,65.0
G3V E-sports,60,46,20,0,"26.10, 26.11",0.3333333333333333,0.0,46,60.0
Zerolag Esports,60,44,40,0,26.09,0.6666666666666666,0.0,44,60.0
Ground Zero Gaming,60,43,10,0,"26.09, 26.10",0.16666666666666666,0.0,43,60.0
Once Upon A Team,60,43,30,0,"26.09, 26.10",0.5,0.0,43,60.0
Estral Esports,60,42,35,0,"26.09, 26.10",0.5833333333333334,0.0,42,60.0
DetonatioN FocusMe Academy,60,40,10,0,"26.09, 26.10",0.16666666666666666,0.0,40,60.0
EKSI EPTA,60,40,25,0,26.09,0.4166666666666667,0.0,40,60.0
TLN Pirates,60,40,30,0,"26.09, 26.10",0.5,0.0,40,60.0
DetonatioN FocusMe,60,39,10,0,"26.09, 26.10",0.16666666666666666,0.0,39,60.0
Crusaders,60,37,25,0,"26.09, 26.10",0.4166666666666667,0.0,37,60.0
Team Vitality,60,36,20,0,"26.09, 26.10",0.3333333333333333,0.0,36,60.0
INTZ,55,43,25,0,"26.09, 26.10",0.45454545454545453,0.0,43,55.0
JSK Academy,55,39,35,0,26.09,0.6363636363636364,0.0,39,55.0
SDM Tigres,55,39,40,0,"26.09, 26.10, 26.11",0.7272727272727273,0.0,39,55.0
Victorious Demons,55,39,25,0,26.09,0.45454545454545453,0.0,39,55.0
Team Secret (Vietnamese Team),55,38,45,0,"26.09, 26.10",0.8181818181818182,0.0,38,55.0
Volticons,55,38,35,0,"26.10, 26.11",0.6363636363636364,0.0,38,55.0
Bulldog Esports,55,37,25,0,26.10,0.45454545454545453,0.0,37,55.0
9Gaming,55,36,5,0,26.09,0.09090909090909091,0.0,36,55.0
VEDICI DEEMONS,55,36,55,0,"26.10, 26.11",1.0,0.0,36,55.0
MVK Esports Academy,55,31,15,0,26.09,0.2727272727272727,0.0,31,55.0
Barulhinhos,50,41,15,0,26.11,0.3,0.0,41,50.0
Onion Team,50,37,15,0,"26.09, 26.10",0.3,0.0,37,50.0
Senshi eSports (Benelux Team),50,37,20,0,"26.09, 26.10",0.4,0.0,37,50.0
9z Globant,50,36,35,0,"26.09, 26.10, 26.11",0.7,0.0,36,50.0
Team Solid (Brazilian Team),50,36,40,0,26.11,0.8,0.0,36,50.0
EXILE esports,50,35,25,0,"26.09, 26.10",0.5,0.0,35,50.0
Top Esports Challenger,50,35,25,0,26.11,0.5,0.0,35,50.0
Diversion Gaming,50,34,5,0,"26.09, 26.10",0.1,0.0,34,50.0
Lenovo Legion Honvéd,50,34,25,0,"26.09, 26.10",0.5,0.0,34,50.0
L Guide Gaming,50,32,10,0,"26.09, 26.10",0.2,0.0,32,50.0
Shopify Rebellion,50,32,15,0,"26.09, 26.10, 26.11",0.3,0.0,32,50.0
Team Insidious,45,37,15,0,26.09,0.3333333333333333,0.0,37,45.0
TeamOrangeGaming,45,36,25,0,"26.09, 26.10",0.5555555555555556,0.0,36,45.0
Ronaldo Team,45,34,15,0,"26.09, 26.10",0.3333333333333333,0.0,34,45.0
ZennIT,45,33,20,0,"26.09, 26.11",0.4444444444444444,0.0,33,45.0
Bohemian Guardians,45,32,0,0,"26.09, 26.10",0.0,0.0,32,45.0
KIA.eSuba Academy,45,30,20,0,26.09,0.4444444444444444,0.0,30,45.0
Sentinels,45,30,20,0,"26.09, 26.10, 26.11",0.4444444444444444,0.0,30,45.0
ZennIT Academy,45,30,15,0,"26.09, 26.10",0.3333333333333333,0.0,30,45.0
Anonymo Esports,45,29,20,0,"26.09, 26.10",0.4444444444444444,0.0,29,45.0
Dynasty,45,28,20,0,"26.09, 26.10",0.4444444444444444,0.0,28,45.0
Lille Esport,45,28,25,0,"26.09, 26.10",0.5555555555555556,0.0,28,45.0
TYBLÁHO MEWING SOCIETY,45,26,10,0,"26.10, 26.11",0.2222222222222222,0.0,26,45.0
Gamespace Mediterranean College Esports,40,37,15,0,26.09,0.375,0.0,37,40.0
Paranormal Invaders,40,35,10,0,26.09,0.25,0.0,35,40.0
Vitality.Bee,40,35,15,0,"26.09, 26.10",0.375,0.0,35,40.0
Colossal Gaming,40,33,10,0,26.09,0.25,0.0,33,40.0
Rugby Club Havířov,40,33,10,0,26.09,0.25,0.0,33,40.0
TAKA ASCEND,40,33,10,0,"26.09, 26.10",0.25,0.0,33,40.0
Shadow Keepers Esports,40,32,25,0,26.10,0.625,0.0,32,40.0
ALMO Players,40,31,20,0,26.09,0.5,0.0,31,40.0
DMG Esports,40,30,15,0,26.10,0.375,0.0,30,40.0
DECOY 21,40,29,25,0,26.10,0.625,0.0,29,40.0
Unicorns of Love Sexy Edition,40,29,15,0,"26.09, 26.10",0.375,0.0,29,40.0
devils.one inStreamly,40,27,20,0,"26.09, 26.10",0.5,0.0,27,40.0
Fuego,35,32,30,0,"26.10, 26.11",0.8571428571428571,0.0,32,35.0
Falke Esports,35,31,5,0,"26.09, 26.10",0.14285714285714285,0.0,31,35.0
One More Esports,35,30,15,0,26.09,0.42857142857142855,0.0,30,35.0
Team Phoenix (Turkish Team),35,30,15,0,26.09,0.42857142857142855,0.0,30,35.0
BRUTE,35,29,5,0,"26.09, 26.10",0.14285714285714285,0.0,29,35.0
Team Phantasma,35,29,20,0,26.09,0.5714285714285714,0.0,29,35.0
The ParadOx,35,29,25,0,26.09,0.7142857142857143,0.0,29,35.0
Zeu5 Esports,35,29,15,0,"26.09, 26.10",0.42857142857142855,0.0,29,35.0
Pegasus Esports,35,28,20,0,26.09,0.5714285714285714,0.0,28,35.0
DOCISK,35,27,10,0,"26.09, 26.10",0.2857142857142857,0.0,27,35.0
Dignitas,35,26,5,0,"26.09, 26.10",0.14285714285714285,0.0,26,35.0
Dorado Gaming,35,26,5,0,"26.09, 26.10",0.14285714285714285,0.0,26,35.0
Team Spawn Peek,35,26,10,0,"26.09, 26.10",0.2857142857142857,0.0,26,35.0
LUA Gaming,35,25,20,0,"26.09, 26.10",0.5714285714285714,0.0,25,35.0
TQ DURPA KASHLQ,35,25,10,0,"26.09, 26.10",0.2857142857142857,0.0,25,35.0
Lund Esports Organization,35,24,10,0,26.10,0.2857142857142857,0.0,24,35.0
SPAJKOVI UKRADLI SUPERSTRIKE,35,24,5,0,26.10,0.14285714285714285,0.0,24,35.0
Shifters,35,24,15,0,26.09,0.42857142857142855,0.0,24,35.0
Lundqvist Lightside,35,22,10,0,26.10,0.2857142857142857,0.0,22,35.0
Dark Passage,30,28,0,0,26.09,0.0,0.0,28,30.0
Obsidian Oath,30,26,10,0,26.10,0.3333333333333333,0.0,26,30.0
GLORE,30,25,0,0,"26.09, 26.10",0.0,0.0,25,30.0
UB Alma Mater,30,25,0,0,"26.09, 26.10",0.0,0.0,25,30.0
Disguised,30,24,10,0,"26.09, 26.10",0.3333333333333333,0.0,24,30.0
Leviatan,30,24,0,0,"26.09, 26.11",0.0,0.0,24,30.0
SPIKE Syndicate,30,24,10,0,26.09,0.3333333333333333,0.0,24,30.0
Hanwha Life Esports Academy,30,23,0,0,26.09,0.0,0.0,23,30.0
India (National Team),30,23,15,0,26.11,0.5,0.0,23,30.0
Lausanne-Sport Esports,30,22,5,0,"26.09, 26.10",0.16666666666666666,0.0,22,30.0
Lunaris Esports (MENA Team),30,22,0,0,26.09,0.0,0.0,22,30.0
wangting,30,22,10,0,26.10,0.3333333333333333,0.0,22,30.0
Zephyr Esport,30,21,10,0,"26.09, 26.10",0.3333333333333333,0.0,21,30.0
Galions Sharks,30,20,15,0,"26.09, 26.10",0.5,0.0,20,30.0
NATÁLKY IMAGINÁRNÍ KAMARÁDI,30,18,5,0,26.10,0.16666666666666666,0.0,18,30.0
Wilderness Gaming,25,25,10,0,26.10,0.4,0.0,25,25.0
Zena Esports,25,25,10,0,26.09,0.4,0.0,25,25.0
Kaufland Hangry Knights,25,24,5,0,26.09,0.2,0.0,24,25.0
RED Academy,25,23,0,0,"26.09, 26.10",0.0,0.0,23,25.0
ZYB Esport,25,23,5,0,26.09,0.2,0.0,23,25.0
7REX,25,22,0,0,26.09,0.0,0.0,22,25.0
Frost Tails,25,22,10,0,26.09,0.4,0.0,22,25.0
Oh My God,25,22,5,0,26.09,0.2,0.0,22,25.0
Team Depressed,25,22,5,0,26.09,0.2,0.0,22,25.0
Washed Gaming,25,22,5,0,26.09,0.2,0.0,22,25.0
GTZ Esports,25,21,5,0,26.09,0.2,0.0,21,25.0
VfB eSports,25,21,5,0,26.09,0.2,0.0,21,25.0
Weibo Gaming Youth Team,25,21,5,0,26.11,0.2,0.0,21,25.0
Fnatic,25,20,15,0,26.09,0.6,0.0,20,25.0
Ultra Prime,25,20,15,0,26.09,0.6,0.0,20,25.0
United Arab Emirates (National Team),25,20,20,0,26.11,0.8,0.0,20,25.0
Vietnam (National Team),25,20,25,0,26.11,1.0,0.0,20,25.0
ZeroZone Gaming,25,20,0,0,26.09,0.0,0.0,20,25.0
Francesinhas,25,19,10,0,26.09,0.4,0.0,19,25.0
Dream Esports,25,17,15,0,26.09,0.6,0.0,17,25.0
DN SOOPers Academy,20,20,5,0,26.09,0.25,0.0,20,20.0
KT Rolster Academy,20,20,5,0,26.09,0.25,0.0,20,20.0
Polar Squad Esports,20,20,5,0,26.09,0.25,0.0,20,20.0
3BL Galaxy Academy,20,19,0,0,26.09,0.0,0.0,19,20.0
Eintracht Frankfurt,20,19,0,0,26.09,0.0,0.0,19,20.0
Myth Esports,20,19,0,0,26.09,0.0,0.0,19,20.0
ROSSMANN Centaurs,20,18,0,0,26.09,0.0,0.0,18,20.0
Soul's Heart Esport,20,18,0,0,26.09,0.0,0.0,18,20.0
Citadel Gaming,20,17,10,0,"26.09, 26.10",0.5,0.0,17,20.0
Dragons Esports,20,17,0,0,26.09,0.0,0.0,17,20.0
Team Heretics,20,17,0,0,26.09,0.0,0.0,17,20.0
Viper Night Raider,20,17,10,0,26.10,0.5,0.0,17,20.0
Jordan (National Team),20,16,10,0,26.11,0.5,0.0,16,20.0
Blue Otter,15,15,5,0,26.09,0.3333333333333333,0.0,15,15.0
EKO Esports,15,15,0,0,26.09,0.0,0.0,15,15.0
Ei Nerd Esports,15,15,0,0,26.09,0.0,0.0,15,15.0
LYON Academy,15,15,0,0,26.09,0.0,0.0,15,15.0
SK Gaming,15,15,5,0,26.09,0.3333333333333333,0.0,15,15.0
Seven Dark,15,15,0,0,26.09,0.0,0.0,15,15.0
The New Kings,15,15,0,0,26.09,0.0,0.0,15,15.0
The ParadOx Academy,15,15,0,0,26.09,0.0,0.0,15,15.0
EDward Gaming Youth Team,15,14,0,0,26.11,0.0,0.0,14,15.0
Kazakhstan (National Team),15,14,0,0,26.11,0.0,0.0,14,15.0
Sri Lanka (National Team),15,14,5,0,26.11,0.3333333333333333,0.0,14,15.0
Huskies Esports,15,13,5,0,26.10,0.3333333333333333,0.0,13,15.0
Mongolia (National Team),15,13,5,0,26.11,0.3333333333333333,0.0,13,15.0
Oman (National Team),15,13,10,0,26.11,0.6666666666666666,0.0,13,15.0
Epitomy Warriors,10,10,0,0,26.10,0.0,0.0,10,10.0
Equinox Core,10,10,0,0,26.10,0.0,0.0,10,10.0
Ground Zero Academy,10,10,0,0,26.10,0.0,0.0,10,10.0
Kyrgyzstan (National Team),10,10,0,0,26.11,0.0,0.0,10,10.0
Laos (National Team),10,10,0,0,26.11,0.0,0.0,10,10.0
Spartans EU,10,10,10,0,26.09,1.0,0.0,10,10.0
