team,champion,team_champion_pick_rows,wins_with_champion,op_pick_rows,patches,example_matches,win_rate_with_champion
Dplus Kia,Xin Zhao,8,3,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_2, LCK/2026 Season/Rounds 1-2_Week 6_3_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_2",0.375
E WIE EINFACH E-SPORTS,Varus,8,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 7_3_1, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_1_3, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_2",0.5
GAM Esports,Jhin,8,6,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 3_1_1",0.75
Galions,Annie,8,8,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_2, LFL/2026 Season/Spring Playoffs_Round 2_3_2, LFL/2026 Season/Spring Playoffs_Round 3_1_3",1.0
Galions,Viktor,8,5,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_3_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_1_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_1",0.625
Hanwha Life Esports,Bard,8,6,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_3_1, LCK/2026 Season/Rounds 1-2_Week 6_2_1, LCK/2026 Season/Rounds 1-2_Week 6_10_1",0.75
Hanwha Life Esports,Vi,8,7,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_3_2, LCK/2026 Season/Rounds 1-2_Week 6_10_2, LCK/2026 Season/Rounds 1-2_Week 7_9_2",0.875
Karmine Corp,Vi,8,7,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_5_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_2_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 6_2_2",0.875
Karmine Corp Blue,Ezreal,8,4,0,"26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 2_1_1, LFL/2026 Season/Spring Playoffs_Round 4_1_2, LFL/2026 Season/Spring Playoffs_Round 4_2_2",0.5
Nongshim RedForce,Ryze,8,3,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_1, LCK/2026 Season/Rounds 1-2_Week 6_1_1, LCK/2026 Season/Rounds 1-2_Week 7_8_1",0.375
Partizan Sangal,Ashe,8,7,0,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1",0.875
STOPERCENTNÁ KAMILOVA TUTOFKA,Maokai,8,3,0,"26.10, 26.11","Streamers Clash/Season 4_Day 2_2_1, Streamers Clash/Season 4_Day 3_3_1, Streamers Clash/Season 4_Day 4_4_1",0.375
Saigon Warriors,Rumble,8,5,0,"26.09, 26.11","VCS/2026 Season/Summer Season_Week 1_1_1, VCS/2026 Season/Summer Season_Week 1_5_1, VCS/2026 Season/Summer Season_Week 2_2_1",0.625
T1,Anivia,8,7,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_2_1, LCK/2026 Season/Rounds 1-2_Week 6_9_2, LCK/2026 Season/Rounds 1-2_Week 7_7_2",0.875
UCAM Esports,Xin Zhao,8,6,0,"26.09, 26.10, 26.11","LES/2026 Season/Spring Split_Week 5_3_2, LES/2026 Season/Spring Split_Week 7_4_1, LES/2026 Season/Spring Playoffs_Semifinals_2_2",0.75
Partizan Sangal,Nocturne,7,5,5,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_2, EMEA Masters/2026 Season/Spring Play-In_Round 1_1_1",0.7142857142857143
Bilibili Gaming,Caitlyn,7,5,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 5_13_2, LPL/2026 Season/Split 2_Week 6_6_2, LPL/2026 Season/Split 2 Playoffs_Round 1_4_3",0.7142857142857143
Bomba Team,Aurora,7,2,0,"26.10, 26.11","Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_1, Rift Legends/2026 Season/Spring Playoffs_Finals_1_1, EMEA Masters/2026 Season/Spring Play-In_Round 1_6_1",0.2857142857142857
Bomba Team,Corki,7,6,0,"26.10, 26.11","Rift Legends/2026 Season/Spring Split_Week 6_4_1, Rift Legends/2026 Season/Spring Playoffs_Round 1_1_2, Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_1",0.8571428571428571
CITA Kaizen,Ezreal,7,5,0,"26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 4_5_2, Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_1_1, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_1",0.7142857142857143
Deep Cross Gaming,Annie,7,3,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_2_3, LCP/2026 Season/Split 2_Week 6_3_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 3_1_3",0.42857142857142855
Deep Cross Gaming,Gnar,7,5,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 6_3_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_5_1, LCP/2026 Season/Split 2_Week 7_1_1",0.7142857142857143
Deep Cross Gaming,Rell,7,5,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_5_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 3_1_1",0.7142857142857143
Deep Cross Gaming,Vi,7,7,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_5_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_3_2",1.0
Dplus Kia,Ashe,7,2,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_1, LCK/2026 Season/Rounds 1-2_Week 7_2_2, LCK/2026 Season/Rounds 1-2_Week 7_5_1",0.2857142857142857
Dplus Kia,Caitlyn,7,4,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_1, LCK/2026 Season/Rounds 1-2_Week 6_3_2, LCK/2026 Season/Rounds 1-2_Week 6_9_1",0.5714285714285714
G2 NORD,Lee Sin,7,7,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 7_1_2, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_3, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_2",1.0
GAM Esports,Ryze,7,2,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_2_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_1",0.2857142857142857
Galions,Caitlyn,7,7,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_2, LFL/2026 Season/Spring Playoffs_Round 3_1_2, LFL/2026 Season/Spring Playoffs_Finals_1_3",1.0
Galions,Seraphine,7,5,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_3_1, LFL/2026 Season/Spring Playoffs_Round 2_2_1, LFL/2026 Season/Spring Playoffs_Round 2_3_2",0.7142857142857143
Galions,Wukong,7,6,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_1_1, LFL/2026 Season/Spring Playoffs_Round 2_2_1, LFL/2026 Season/Spring Playoffs_Round 3_1_3",0.8571428571428571
Galions,Yunara,7,2,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_3_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_1, LFL/2026 Season/Spring Playoffs_Round 2_2_2",0.2857142857142857
Gen.G,Jhin,7,5,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_1_2, LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 7_3_2",0.7142857142857143
Gen.G,Karma,7,5,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_1_2, LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 7_7_2",0.7142857142857143
HANJIN BRION,Jayce,7,1,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_2_2, LCK/2026 Season/Rounds 1-2_Week 7_10_3, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_3_2",0.14285714285714285
HANJIN BRION,Xin Zhao,7,3,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_2_1, LCK/2026 Season/Rounds 1-2_Week 6_8_1, LCK/2026 Season/Rounds 1-2_Week 7_6_2",0.42857142857142855
HERDYNŮV LANGUSTA TÝM,Nautilus,7,5,0,"26.10, 26.11","Streamers Clash/Season 4_Day 1_2_1, Streamers Clash/Season 4_Day 4_4_1, Streamers Clash/Season 4_Day 5_3_1",0.7142857142857143
Hanwha Life Esports,Pantheon,7,5,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_10_3, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_3, LCK/2026 Season/Rounds 1-2_Week 8_3_2",0.7142857142857143
Hanwha Life Esports,Sion,7,6,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_1, LCK/2026 Season/Rounds 1-2_Week 7_5_1, LCK/2026 Season/Rounds 1-2_Week 7_9_1",0.8571428571428571
KT Rolster,Jayce,7,1,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_1_2, LCK/2026 Season/Rounds 1-2_Week 6_7_1, LCK/2026 Season/Rounds 1-2_Week 7_4_1",0.14285714285714285
Karmine Corp,Seraphine,7,6,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_1_2, LEC/2026 Season/Spring Season_Week 7_4_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_2_2",0.8571428571428571
Movistar KOI,Anivia,7,6,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_6_3, LEC/2026 Season/Spring Season_Week 7_2_2, LEC/2026 Season/Spring Season_Week 7_6_3",0.8571428571428571
Movistar KOI,Ashe,7,5,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_6_2, LEC/2026 Season/Spring Season_Week 7_6_3, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_2_2",0.7142857142857143
Movistar KOI,Rumble,7,5,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_2_1, LEC/2026 Season/Spring Season_Week 7_4_2, LEC/2026 Season/Spring Season_Week 7_6_1",0.7142857142857143
Movistar KOI,Seraphine,7,4,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_6_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_4_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 5_1_2",0.5714285714285714
PCIFIC Esports,Akali,7,3,0,"26.09, 26.10, 26.11","TCL/2026 Season/Spring Split_Week 5_2_2, TCL/2026 Season/Spring Split_Week 5_6_1, TCL/2026 Season/Spring Playoffs_Round 1_2_4",0.42857142857142855
Partizan Sangal,Seraphine,7,6,0,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1",0.8571428571428571
Priority,Ornn,7,6,0,"26.09, 26.10, 26.11","Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 3_2_3, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_3_2, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_10_1",0.8571428571428571
Priority,Skarner,7,4,0,"26.09, 26.10, 26.11","Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 3_2_2, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_3_1, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_8_2",0.5714285714285714
Project Conquerors,Nautilus,7,4,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 5_1_1, Nexus League/2026 Season/Spring Split_Week 5_8_1, Nexus League/2026 Season/Spring Split_Week 6_6_1",0.5714285714285714
Ruddy Corporation,Ezreal,7,5,0,"26.10, 26.11","NLC/2026 Season/Spring Split_Day 1_7_1, NLC/2026 Season/Spring Split_Day 1_16_1, NLC/2026 Season/Spring Split_Day 2_5_1",0.7142857142857143
Ruddy Corporation,Jhin,7,3,0,"26.10, 26.11","NLC/2026 Season/Spring Split_Day 1_2_1, NLC/2026 Season/Spring Split_Day 1_10_1, NLC/2026 Season/Spring Playoffs_Round 1_1_1",0.42857142857142855
Saigon Warriors,Vi,7,6,0,"26.09, 26.11","VCS/2026 Season/Summer Season_Week 1_1_2, VCS/2026 Season/Summer Season_Week 2_2_1, VCS/2026 Season/Summer Season_Week 2_5_1",0.8571428571428571
Solary,Anivia,7,4,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_4_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_2_2, LFL/2026 Season/Spring Playoffs_Finals_1_3",0.5714285714285714
Solary,Lucian,7,6,0,"26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 2_2_2, LFL/2026 Season/Spring Playoffs_Round 4_1_1, LFL/2026 Season/Spring Playoffs_Finals_1_1",0.8571428571428571
Solary,Ryze,7,5,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_4_2, LFL/2026 Season/Spring Playoffs_Round 2_2_1, LFL/2026 Season/Spring Playoffs_Round 4_1_2",0.7142857142857143
Solary,Vi,7,5,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_2_1, LFL/2026 Season/Spring Playoffs_Round 2_2_2, LFL/2026 Season/Spring Playoffs_Finals_1_2",0.7142857142857143
T1,Sion,7,5,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_2_1, LCK/2026 Season/Rounds 1-2_Week 7_1_1, LCK/2026 Season/Rounds 1-2_Week 8_10_1",0.7142857142857143
T1,Xin Zhao,7,6,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_5_1, LCK/2026 Season/Rounds 1-2_Week 6_9_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_1_1",0.8571428571428571
T1 Esports Academy,Vi,7,5,0,"26.09, 26.10, 26.11","LCK CL/2026 Season/Rounds 1-2_Week 6_3_2, LCK CL/2026 Season/Rounds 1-2_Week 6_7_2, LCK CL/2026 Season/Rounds 1-2_Week 8_1_1",0.7142857142857143
TYBLÁHO MEWING SOCIETY,Braum,7,2,0,"26.10, 26.11","Streamers Clash/Season 4_Day 1_3_1, Streamers Clash/Season 4_Day 2_3_1, Streamers Clash/Season 4_Day 4_2_1",0.2857142857142857
Team Liquid,Rakan,7,5,0,"26.09, 26.10, 26.11","LCS/2026 Season/Spring Season_Week 5_2_2, LCS/2026 Season/Spring Season_Week 6_4_3, LCS/2026 Season/Spring Playoffs_Round 1_2_4",0.7142857142857143
Team WE,Ryze,7,2,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 6_1_1, LPL/2026 Season/Split 2_Week 6_3_2, LPL/2026 Season/Split 2_Week 6_8_1",0.2857142857142857
G2 NORD,Senna,6,5,3,"26.10, 26.11","Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_3, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_3, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3",0.8333333333333334
Anyone's Legend,Ryze,6,4,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 6_10_2, LPL/2026 Season/Split 2_Week 7_4_2, LPL/2026 Season/Split 2_Week 7_12_1",0.6666666666666666
Arneb,Nautilus,6,3,0,"26.09, 26.10, 26.11","LJL/2026 Season/Spring Series_Week 2_1_1, LJL/2026 Season/Spring Series_Week 5_2_2, LJL/2026 Season/Spring Series_Week 6_1_2",0.5
Bilibili Gaming,Jarvan IV,6,5,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 5_13_1, LPL/2026 Season/Split 2_Week 7_8_1, LPL/2026 Season/Split 2 Playoffs_Round 1_4_3",0.8333333333333334
Bilibili Gaming,Jayce,6,5,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 7_2_3, LPL/2026 Season/Split 2_Week 7_8_1, LPL/2026 Season/Split 2 Playoffs_Round 1_4_2",0.8333333333333334
Bilibili Gaming,Lee Sin,6,6,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 7_2_3, LPL/2026 Season/Split 2 Playoffs_Round 1_4_2, LPL/2026 Season/Split 2 Playoffs_Round 2_4_3",1.0
Bomba Team,Bard,6,4,0,"26.09, 26.10, 26.11","Rift Legends/2026 Season/Spring Split_Week 5_5_2, Rift Legends/2026 Season/Spring Split_Week 6_4_1, Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_1",0.6666666666666666
Bomba Team,Caitlyn,6,4,0,"26.10, 26.11","Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_3, Rift Legends/2026 Season/Spring Playoffs_Finals_1_2, EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1",0.6666666666666666
Bomba Team,Ezreal,6,3,0,"26.09, 26.10, 26.11","Rift Legends/2026 Season/Spring Split_Week 5_4_1, Rift Legends/2026 Season/Spring Split_Week 5_5_1, Rift Legends/2026 Season/Spring Playoffs_Round 1_1_1",0.5
Bomba Team,Jayce,6,3,0,"26.09, 26.10, 26.11","Rift Legends/2026 Season/Spring Split_Week 5_4_2, Rift Legends/2026 Season/Spring Split_Week 5_5_1, Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_2",0.5
Bomba Team,Rumble,6,4,0,"26.09, 26.10, 26.11","Rift Legends/2026 Season/Spring Split_Week 5_4_1, Rift Legends/2026 Season/Spring Playoffs_Semifinals_1_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_3_1",0.6666666666666666
CITA Kaizen,Lee Sin,6,5,0,"26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 4_5_2, Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_2_2, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_2",0.8333333333333334
CITA Kaizen,Rumble,6,4,0,"26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 4_1_1, Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_2_1, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_2",0.6666666666666666
DN SOOPers,Lee Sin,6,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 1_3_2, LCK/2026 Season/Rounds 1-2_Week 8_5_2",0.3333333333333333
DN SOOPers,Ryze,6,0,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_3_2, LCK/2026 Season/Rounds 1-2_Week 6_2_2, LCK/2026 Season/Rounds 1-2_Week 7_2_2",0.0
Deep Cross Gaming,Karma,6,4,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 6_3_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_3_1, LCP/2026 Season/Split 2 Playoffs_Round 1_2_1",0.6666666666666666
Dplus Kia,Bard,6,4,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_1, LCK/2026 Season/Rounds 1-2_Week 6_3_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_2",0.6666666666666666
Dplus Kia,Skarner,6,3,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_3_2, LCK/2026 Season/Rounds 1-2_Week 7_2_2, LCK/2026 Season/Rounds 1-2_Week 8_7_3",0.5
E WIE EINFACH E-SPORTS,Leona,6,2,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_1_1, Prime League 1st Division/2026 Season/Spring Split_Week 7_3_1, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_3",0.3333333333333333
E WIE EINFACH E-SPORTS,Seraphine,6,5,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 7_3_2, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_1_1, Prime League 1st Division/2026 Season/Spring Playoffs_Third-Place Match_1_4",0.8333333333333334
Eintracht Spandau,Azir,6,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_5_1, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_8_1",0.6666666666666666
Eintracht Spandau,Lucian,6,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_5_2, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_8_1",0.6666666666666666
Eintracht Spandau,Lulu,6,2,0,"26.10, 26.11","Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_3, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_4_2",0.3333333333333333
Eintracht Spandau,Milio,6,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_5_2, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_8_1",0.6666666666666666
Eintracht Spandau,Rumble,6,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_1_2, Prime League 1st Division/2026 Season/Spring Split_Week 6_5_2, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_1",0.6666666666666666
Eintracht Spandau,Yunara,6,2,0,"26.10, 26.11","Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_3, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_4_2",0.3333333333333333
FlyQuest,Rumble,6,3,0,"26.09, 26.10, 26.11","LCS/2026 Season/Spring Season_Week 5_4_2, LCS/2026 Season/Spring Season_Week 6_3_1, LCS/2026 Season/Spring Season_Week 7_4_3",0.5
Frites Esports Club,Anivia,6,6,0,"26.09, 26.10, 26.11","Road Of Legends/2026 Season/Spring Split_Week 6_4_2, Road Of Legends/2026 Season/Spring Split_Week 7_1_2, Road Of Legends/2026 Season/Spring Playoffs_Round 1_1_2",1.0
Frites Esports Club,Aurora,6,5,0,"26.09, 26.10, 26.11","Road Of Legends/2026 Season/Spring Split_Week 6_4_1, Road Of Legends/2026 Season/Spring Split_Week 7_1_1, Road Of Legends/2026 Season/Spring Playoffs_Round 1_1_1",0.8333333333333334
G2 Esports,Ezreal,6,4,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_4_1, LEC/2026 Season/Spring Season_Week 7_1_1, LEC/2026 Season/Spring Season_Week 7_6_1",0.6666666666666666
G2 Esports,Lulu,6,5,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_4_2, LEC/2026 Season/Spring Season_Week 7_3_1, LEC/2026 Season/Spring Season_Week 7_6_2",0.8333333333333334
G2 NORD,Seraphine,6,6,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_3_1, Prime League 1st Division/2026 Season/Spring Split_Week 7_1_2, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_3",1.0
GAM Esports,Ahri,6,6,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 6_4_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_2, LCP/2026 Season/Split 2_Week 7_4_2",1.0
GAM Esports,Bard,6,5,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_2_2, LCP/2026 Season/Split 2_Week 6_4_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_2",0.8333333333333334
